StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CANCER_CrudePrev
TX,Pasadena,4856000,149043,32.8,30.8,5.7,8.5,5
TX,Pearland,4856348,91252,15.2,28.8,5.8,7.9,5
TX,Pharr,4857200,70400,43.3,33.8,4.8,8.3,4.4
TX,Plano,4858016,259841,14,26.6,6,7.7,5.6
TX,Richardson,4861796,99223,15.1,27.8,6,7.9,6.1
TX,Round Rock,4863500,99887,17.8,30.2,6,8.4,4.6
TX,San Angelo,4864472,93200,23.8,30.2,5.9,8.7,6
TX,San Antonio,4865000,1327407,29,30.7,5.3,8.4,4.9
TX,Sugar Land,4870808,78817,13.4,25.8,5.5,7,5.7
TX,Tyler,4874144,96900,22.4,33.6,6,9.6,6.3
TX,Waco,4876000,124805,26.2,35.1,5.8,9.9,5.2
TX,Wichita Falls,4879000,104553,20.8,33.7,5.9,9.1,5.6
UT,Layton,4943660,67311,11.9,25.9,6.2,8.6,5.2
UT,Ogden,4955980,82825,19.3,30.5,6.1,9.5,5.3
UT,Orem,4957300,88328,13.3,25,6.3,8.7,5
UT,Provo,4962470,112488,14.6,25.8,6.3,8.9,3.3
UT,St. George,4965330,72897,13.6,26.5,6.3,8.8,7.6
UT,Salt Lake City,4967000,186440,15.2,26,6,8.9,4.9
UT,Sandy,4967440,87461,10.1,23.6,6.2,8.6,5.9
UT,West Jordan,4982950,103712,13.4,24.9,6,8.9,4.4
UT,West Valley City,4983470,129480,20.6,28.3,5.8,9.5,4.5
VT,Burlington,5010675,42417,8.4,25.3,6.4,10.6,4.6
VA,Alexandria,5101000,139966,11.7,28.8,6,8.1,5.1
VA,Chesapeake,5116000,222209,12.6,32.5,6,8.9,5.8
VA,Hampton,5135000,137436,14.9,37.7,5.9,9.7,5.8
