StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CSMOKING_AdjPrev,DIABETES_AdjPrev,STROKE_AdjPrev
CA,Buena Park,608786,80530,14.2,26.3,5.2,8,13.3,10.6,2.6
CA,Burbank,608954,103340,9.6,24.9,5.9,8.1,12.3,8.1,2.4
CA,Carlsbad,611194,105328,6.5,23.3,6.2,7.8,10.6,6.6,2
CA,Carson,611530,91714,14.4,28.8,4.9,8,12.2,10.9,2.7
CA,Chico,613014,86187,9.4,28.2,6.4,9.5,16.1,8.7,2.9
CA,Chino,613210,77983,14.9,28.9,5.2,8.7,13.5,10.2,2.6
CA,Chino Hills,613214,74799,8.9,25.9,5.1,7.6,10.1,8.5,2
CA,Chula Vista,613392,243916,15.3,26.6,5.1,7.9,12.3,10.3,2.6
CA,Citrus Heights,613588,83301,10.1,29.6,6.3,10.1,16.6,8.7,2.9
CA,Clovis,614218,95631,10.5,27.2,6,9,14,9,2.7
CA,Compton,615044,96455,24,35.5,4.9,10.2,17,15.3,4.6
CA,Concord,616000,122067,11.9,25.9,5.9,8.6,13.9,8.8,2.5
CA,Corona,616350,152374,13.7,27.9,5.6,8.2,13.7,9.6,2.7
CA,Costa Mesa,616532,109960,12.2,25.9,5.9,8.4,13.3,9.1,2.6
CA,Daly City,617918,101123,10.7,26.4,4.8,7,10.9,9.6,2
CA,Downey,619766,111772,17.6,26.7,5.2,7.9,12,10.2,2.6
CA,El Cajon,621712,99478,14.1,29.1,6,9.5,18.2,10.3,3.5
CA,Elk Grove,622020,153015,9.2,28.6,5.6,8.9,12.6,8.9,2.4
CA,El Monte,622230,113475,24.2,30.2,4.5,8.1,15.3,13.9,3.3
CA,Escondido,622804,143911,17.1,28.1,5.7,8.8,15.7,10.2,3.1
CA,Fairfield,623182,105321,12.5,28.8,5.6,9.4,15.2,10.4,2.9
CA,Folsom,624638,72203,7.7,26.3,6.2,8.5,11.7,6.9,2
CA,Fontana,624680,196069,18.9,31.1,5,9.2,14.5,12,3.2
CA,Fremont,626000,214089,7.7,23,5.1,7.2,10,7.9,1.8
CA,Fresno,627000,494665,18.5,31.5,5.5,9.7,17,12.8,3.7
CA,Fullerton,628000,135161,12.3,25.7,5.5,8,12.4,9.5,2.4
CA,Garden Grove,629000,170883,15.8,27.7,5,7.9,14.3,11.6,2.7
CA,Glendale,630000,191719,10.1,26,5.9,8.4,13.6,8.6,2.7
CA,Hawthorne,632548,84293,18.1,31.4,5.1,9.2,14.7,12.4,3.5
CA,Hayward,633000,144186,14.3,27.2,5.2,8.8,14.4,10.4,2.7
CA,Hemet,633182,78657,16.7,31.8,5.9,9.7,18.8,11.1,3.7
CA,Hesperia,633434,90173,17.6,31.9,5.6,10.1,18.2,11.9,3.7
CA,Huntington Beach,636000,189992,8.5,24.1,6,8.2,12.2,7.8,2.2
CA,Indio,636448,76036,21.1,30.1,5.5,8.7,15.5,11.3,3.2
CA,Inglewood,636546,109673,19,34.6,5.1,9.8,15,13.5,4
CA,Irvine,636770,212375,6.5,23.2,5.6,7.2,9.2,7.8,1.9
CA,Lake Forest,639496,77264,8.7,23.9,5.9,7.9,11,7.9,2.2
CA,Lakewood,639892,80048,10.9,25.8,5.6,7.9,12.2,8.6,2.4
CA,Lancaster,640130,156633,15.8,30.8,5.7,9.3,16.6,11.5,3.7
